sentence,label
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye No low-clearance bridges, follow approved ODC route map ka use karein aur By evening (Before 06:00 PM) tak har haal me pahuchein.",DEADLINE_SET
"Fragile, Glassware protocol, side foam padding required ka khyal rakhna, Octroi Exempt Form (Govt hospital delivery), Delivery Challan signed sath hona chahiye.",DEADLINE_SET
"Suno driver saab, Frozen Food (Frozen Meat Patties) ka load hamesha critical hota hai.",DEADLINE_SET
"Avoid city flyovers, follow heavy transport corridor corridor hi lena and secure velocity maintain karke By evening 04:30 PM tak report karo.",DEADLINE_SET
"Product is Overhanging load, red flag and night reflector marking required, aur border par APMC state mandi transit token sheet approval logs verified dikhana hoga.",DEADLINE_SET
"Bhai, Pharmaceuticals (Oncology Infusion Bags) ka critical consignment hai.",COMPLIANCE_NOTE
Route me Avoid Ring Road entirely due to daytime heavy vehicle ban follow karna aur By evening 05:00 PM at Port tak deliver kar dena.,DEADLINE_SET
"Standard palletized distribution, avoid stacking near wet cargo maintain rakhna, checkpost pe Transit Insurance Policy copy & Custom Clearance Docs in cabin check hoga.",ROUTE_RESTRICTION
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: Rural connectivity routes, verify bridge weight capacity before crossing.",DEADLINE_SET
Strict unloading timing: By evening 04:30 PM.,DEADLINE_SET
"Setup Shock-sensitive, air-suspension trailer routing checks, and checkpost processing ke liye Transit Insurance Policy copy & Custom Clearance Docs in cabin verified hona chahiye.",COMPLIANCE_NOTE
Consignment category: Industrial Gas (Compressed Nitrogen).,COMPLIANCE_NOTE
"Avoid central flyovers, follow hazardous logistics ring track follow karna delay se bachne ke liye.",ROUTE_RESTRICTION
Delivery window is Strictly before 09:00 AM.,DEADLINE_SET
"Take care of Chemical handling, protective masks for loaders mandatory.",DEADLINE_SET
Keep Excise Challan & Triplicate Invoice Copy checked post loading handy on dashboard.,COMPLIANCE_NOTE
Attention driver saab: Automotive Parts (Wiring Harnesses) delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly Smooth surfaces only, strictly avoid under-construction bypass roads se jana hai.",ROUTE_RESTRICTION
Unloading target By late evening hai.,VEHICLE_REQUIREMENT
"Deep Freeze (-20°C), continuous temperature data logging instructions follow karo aur Special ODC Permission from NHAI, Form 9 active in system ready rakho.",HANDLING_INSTRUCTION
"Dekho bhai, Construction Material (Granite Slabs) loaded hai gaadi me.",VEHICLE_REQUIREMENT
"Ring road mat lena, Avoid city flyovers, follow heavy transport corridor safe rahega.",ROUTE_RESTRICTION
Subah Before afternoon 12:30 PM se pehle hub pahuchega toh achha hai.,DEADLINE_SET
"Maal HAZMAT Class 9, Temperature monitored, dry zone packaging hai, and custom pe OTP verification authorization validation activated on terminal map dikhana padega.",HANDLING_INSTRUCTION
"Suno driver saab, Glass Bottles (Beverage Industry) ka load hamesha critical hota hai.",DEADLINE_SET
"Direct express route, no unauthorized stops corridor hi lena and secure velocity maintain karke By evening 06:30 PM tak report karo.",DEADLINE_SET
"Product is Highly Fragile medical diagnostic components, strict vibration sensor logs, aur border par Loading challan and toll receipts for reimbursement verification dikhana hoga.",HANDLING_INSTRUCTION
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
Maal hai Frozen Food (Ice Cream Stock).,HANDLING_INSTRUCTION
"Location ke liye Shortest market connection lane, bypass checkpoint lines ka use karein aur By afternoon 03:00 PM tak har haal me pahuchein.",DEADLINE_SET
"Fragile glassware protocol, strict vertical alignment tracking ka khyal rakhna, Bulk Delivery Manifest & Store Inward Voucher verified sath hona chahiye.",DEADLINE_SET
Attention driver saab: FMCG Goods (Soap & Detergents Bulk) delivery ke liye nikal chuka hai.,DEADLINE_SET
Strictly Avoid waterlogging-prone routes and low-security zones se jana hai.,ROUTE_RESTRICTION
Unloading target Within 2 hours max (Urgent replenishment) hai.,DEADLINE_SET
"Enclosed car carrier, hydraulic lift usage, zero scratches protocol instructions follow karo aur Agricultural Produce Marketing Committee (APMC) tax slip verified ready rakho.",DEADLINE_SET
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: State Highway 10 only, avoid central blockades/protest routes.",ROUTE_RESTRICTION
Strict unloading timing: Within 4 hours express timeline.,DEADLINE_SET
"Setup No sharp tools for loading, keep base dry checks, and checkpost processing ke liye Breakage liability clause signed, e-Way Bill attached with documents verified hona chahiye.",COMPLIANCE_NOTE
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye State Highway 14 network only, avoid water-logged underpass ka use karein aur Within 3 days (Long haul) tak har haal me pahuchein.",ROUTE_RESTRICTION
"Corrosive substance, personal protective equipment for crew mandatory ka khyal rakhna, Pollution Under Control (PUC) & Emergency Response Plan copy present sath hona chahiye.",DEADLINE_SET
"Sir, ye logistics move urgent hai.",DEADLINE_SET
Cargo: E-Commerce Electronics (Smartphones).,DRIVER_ALERT
"Route path: Avoid central flyovers, follow hazardous logistics ring.",ROUTE_RESTRICTION
Deadlines: Before 01:00 PM afternoon.,DEADLINE_SET
"Chilled container (Maintain 14°C to 18°C), zero moisture drop protocol lagao aur factory checkpost pe Medical Supply Emergency Priority Authorization Document Pass verified clear karwana.",COMPLIANCE_NOTE
"Dekho bhai, Industrial Chemical (Nitric Acid Tanker) loaded hai gaadi me.",VEHICLE_REQUIREMENT
"Ring road mat lena, Direct highway to city tech park, completely bypass local markets safe rahega.",ROUTE_RESTRICTION
Subah Within 3 days (Long haul) se pehle hub pahuchega toh achha hai.,DEADLINE_SET
"Maal Live animal priority tracking, specialized airflow ventilation matrix hai, and custom pe Digital OTP delivery system enablement check on driver device dikhana padega.",DEADLINE_SET
Emergency stock replenishment hai driver saab!,DRIVER_ALERT
"Location ke liye Shortest market connection lane, bypass checkpoint lines ka use karein aur Within 5 hours absolute transit limit tak har haal me pahuchein.",DEADLINE_SET
"Scratch-prone, secure individual padding inside container ka khyal rakhna, Daily Supply Token and Transit Challan verified sath hona chahiye.",COMPLIANCE_NOTE
Attention driver saab: Glass Panels (Architectural Glass) delivery ke liye nikal chuka hai.,DEADLINE_SET
"Strictly Direct express route, no unauthorized stops se jana hai.",ROUTE_RESTRICTION
Unloading target Before 08:30 AM early slot hai.,DEADLINE_SET
"Highly Flammable risk, double fire-retardant tarpaulin used instructions follow karo aur Breakage liability clause signed, e-Way Bill attached with documents ready rakho.",COMPLIANCE_NOTE
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: Monitored container track route, direct arterial expressway link.",ROUTE_RESTRICTION
Strict unloading timing: Before 08:30 AM early slot.,DEADLINE_SET
"Setup Standard palletized distribution, avoid stacking near wet cargo checks, and checkpost processing ke liye Electricity Grid Distribution Authority Order Copy and Form 9 verified verified hona chahiye.",ROUTE_RESTRICTION
"Sir, ye logistics move urgent hai.",DEADLINE_SET
"Route path: Direct arterial corridors, smooth driving pattern tracking maps.",ROUTE_RESTRICTION
Deadlines: By evening 06:30 PM.,DEADLINE_SET
"Flammable liquid protocols, strictly No Smoking allowed near the vehicle protocol lagao aur factory checkpost pe e-Way Bill must match physical bundle count exactly at border check clear karwana.",COMPLIANCE_NOTE
"Suno driver saab, Automotive Parts (Engine Blocks) ka load hamesha critical hota hai.",DEADLINE_SET
"Shortest market connection lane, bypass checkpoint lines corridor hi lena and secure velocity maintain karke By evening 04:30 PM tak report karo.",DEADLINE_SET
"Product is Keep 100% dry, double-layer heavy tarpaulin covering mandatory, aur border par APMC state mandi transit token sheet approval logs verified dikhana hoga.",HANDLING_INSTRUCTION
High-value target load hai.,VEHICLE_REQUIREMENT
"Route map setting: Smooth asphalt highway only, skip rough diversion bypass.",ROUTE_RESTRICTION
Strict unloading timing: By morning 09:00 AM.,DEADLINE_SET
"Setup Enclosed car carrier, hydraulic lift usage, zero scratches protocol checks, and checkpost processing ke liye TREM Card (Transport Emergency Card) required, valid PUC on board verified hona chahiye.",VEHICLE_REQUIREMENT
"Sir, ye logistics move urgent hai.",DEADLINE_SET
Cargo: Frozen Food (Ice Cream Stock).,HANDLING_INSTRUCTION
"Route path: No highways during peak hours, outer bypass only.",ROUTE_RESTRICTION
Deadlines: Next day morning delivery priority.,DEADLINE_SET
"Flammable liquid protocols, strictly No Smoking allowed near the vehicle protocol lagao aur factory checkpost pe Medical Supply Emergency Priority Authorization Document Pass verified clear karwana.",DEADLINE_SET
"Suno driver saab, Textile Fabrics (Surat to Delhi Batch) ka load hamesha critical hota hai.",DEADLINE_SET
Bypass local market traffic zones completely corridor hi lena and secure velocity maintain karke Morning 11:00 AM sharp tak report karo.,DEADLINE_SET
"Product is Heavy Load, Secure Tie-Downs, anti-rust tarp covering, aur border par Digital OTP delivery system enablement check on driver device dikhana hoga.",DEADLINE_SET
"Bhai, Industrial Gas (Compressed Argon Tank) ka critical consignment hai.",COMPLIANCE_NOTE
"Route me Bypass city local bottlenecks, stick to industrial ring follow karna aur Strictly before 07:30 AM tak deliver kar dena.",DEADLINE_SET
"Keep 100% dry, double-layer heavy tarpaulin covering mandatory maintain rakhna, checkpost pe Weight Bridge Slip (Kanta Slip) duplicate verification copy required check hoga.",HANDLING_INSTRUCTION
Consignment category: E-Commerce (Laptops & Tablets).,COMPLIANCE_NOTE
"No low-clearance bridges, follow approved ODC route map track follow karna delay se bachne ke liye.",ROUTE_RESTRICTION
Delivery window is By evening 04:30 PM.,DEADLINE_SET
"Take care of Fragile, Glassware protocol, side foam padding required.",DEADLINE_SET
Keep Electricity Grid Distribution Authority Order Copy and Form 9 verified handy on dashboard.,HANDLING_INSTRUCTION
"Bhai, Frozen Food (Ready-to-Eat Meals) ka critical consignment hai.",HANDLING_INSTRUCTION
"Route me High-security logistics route, avoid dark zones/isolated halts follow karna aur Strictly before 10:00 AM tak deliver kar dena.",DEADLINE_SET
"Chemical handling, protective masks for loaders mandatory maintain rakhna, checkpost pe Transit Cover Insurance Copy & Custom Invoice record active check hoga.",COMPLIANCE_NOTE
